ID,Statement,Predicted,Reference
1,Rama is the eldest son of King Dasharatha.,"True (Bala,18-24)","Bala,18-24"
2,Sita was discovered by King Janaka in a furrow during ploughing and was later adopted by him.,"True  
Reference: Bala Kanda, 66-14","Bala,66-14"
3,"Lakshmana, Rama’s devoted younger brother, accompanied him into exile.","True (Aranya Kanda,47-19)","Aranya Kanda,15-20"
4,"Bharata, another brother of Rama, revered him and ruled as regent in his absence.","True  
Reference: Ayodhya Kanda,115-26; Ayodhya,115-24","Ayodhya Kanda,115-26"
5,Hanuman was the best minister of Sugreeva.,"True (Kishkindha,6-2)","Kishkindha,6-2"
6,"Ravana, the demon king of Lanka, abducted Sita, setting in motion the events of the epic.","True  
Reference: Aranya Kanda,54-11","Bala,3-28"
7,"Nila, a general of the monkey army, was rendered unconscious by a mystic arrow shot by Ravana.","True (Yuddha Kanda,59-89)","Kishkindha Kanda,16-36"
8,Nala constructed a bridge for Rama to cross over to Lanka.,"True (Yuddha,22-51)","Yuddha,22-51"
9,"The sage Vishwamitra mentored Rama during his early life, imparting knowledge of warfare and ritual",False,
10,"On seeing Hanuman, Sita lost her consciousness for a long time.","True  
(Sundara Kanda, 32-8)","Sundara,32-8"
11,Sita herself built the bridge to Lanka with the help of the monkey army,False,
12,Lakshmana was a disciple of Ravana and learned warfare techniques from him.,False,
13,Bharata was originally from Lanka and was later adopted by King Dasharatha.,False,
14,"After meeting Sita, Hanuman lost his ability to speak entirely.",False,
15,Ravana is depicted solely as a peaceful poet who never engaged in any battles.,False,
16,Rama’s exile lasted only one year rather than the traditionally recounted fourteen years.,False,
17,Sita and Rama were married in Lanka with Ravana acting as the priest for their wedding.,False,
18,Lakshmana is not mentioned at all in the Valmiki Ramayana.,"False  
Reference: Ayodhya Kanda,75-4",
19,Bharata built a grand palace in Lanka following Rama’s victory over Ravana.,False,
20,Hanuman was the son of Ravana.,False,
